Year,Net,TV Viewers (millions)
,,
2022,NBC,99.18
2021,CBS,95.2
2020,FOX,100.45
2019,CBS,98.19
2018,NBC,103.39
2017,FOX,111.32
2016,CBS,111.86
2015,NBC,114.44
2014,FOX,112.19
2013,CBS,108.69
2012,NBC,111.35
2011,FOX,111.01
2010,CBS,106.48
2009,NBC,98.73
2008,FOX,97.45
2007,CBS,93.18
2006,ABC,90.75
2005,FOX,86.07
2004,CBS,89.8
2003,ABC,88.64
2002,FOX,86.8
2001,CBS,84.34
2000,ABC,88.47
1999,FOX,83.72
1998,NBC,90
1997,FOX,87.87
1996,NBC,94.08
1995,ABC,83.42
1994,NBC,90
1993,NBC,90.99
1992,CBS,79.59
1991,ABC,79.51
1990,CBS,73.85
1989,NBC,81.59
1988,ABC,80.14
1987,CBS,87.19
1986,NBC,92.57
1985,ABC,85.53
1984,CBS,77.62
1983,NBC,81.77
1982,CBS,85.24
1981,NBC,68.29
1980,CBS,76.24
1979,NBC,74.74
1978,CBS,78.94
1977,NBC,62.05
1976,CBS,57.71
1975,NBC,56.05
1974,CBS,51.7
1973,NBC,53.32
1972,CBS,56.64
1971,NBC,46.04
1970,CBS,44.27
1969,NBC,41.66
1968,CBS,39.12
