name,srid,active,hof,positions,start,end,letter
Isaako Aaitui,AaitIs00,FALSE,FALSE,NT,2013,2014,A
Joe Abbey,AbbeJo20,FALSE,FALSE,E,1948,1949,A
Fay Abbott,AbboFa20,FALSE,FALSE,BB-FB-TB-QB-WB-E,1921,1929,A
Vince Abbott,abbotvin01,FALSE,FALSE,K,1987,1988,A
Jared Abbrederis,AbbrJa00,TRUE,FALSE,WR,2014,2017,A
Duke Abbruzzi,AbbrDu20,FALSE,FALSE,HB-DB,1946,1946,A
Mehdi Abdesmad,AbdeMe00,TRUE,FALSE,DE,2016,2016,A
Karim Abdul-Jabbar,AbduKa00,FALSE,FALSE,RB,1996,2000,A
Isa Abdul-Quddus,AbduIs00,FALSE,FALSE,S,2011,2016,A
Ameer Abdullah,AbduAm00,TRUE,FALSE,RB,2015,2017,A
Hamza Abdullah,AbduHa20,FALSE,FALSE,DB,2005,2011,A
Husain Abdullah,AbduHu99,FALSE,FALSE,DB,2008,2015,A
Khalid Abdullah,AbduKh20,FALSE,FALSE,LB,2003,2003,A
Rabih Abdullah,AbduRa00,FALSE,FALSE,RB,1999,2004,A
Rahim Abdullah,AbduRa20,FALSE,FALSE,LB,1999,2000,A
Fred Abel,AbelFr20,FALSE,FALSE,BB-FB,1926,1926,A
Bud Abell,AbelBu20,FALSE,FALSE,LB,1966,1968,A
Walter Abercrombie,AberWa00,FALSE,FALSE,RB,1982,1988,A
Cliff Aberson,AberCl20,FALSE,FALSE,TB-DB,1946,1946,A
Victor Abiamiri,AbiaVi99,FALSE,FALSE,DE,2007,2009,A
Oday Aboushi,AbouOd00,TRUE,FALSE,OT,2014,2017,A
Clifton Abraham,AbraCl20,FALSE,FALSE,DB,1995,1997,A
Donnie Abraham,AbraDo00,FALSE,FALSE,DB,1996,2004,A
John Abraham,AbraJo00,FALSE,FALSE,DE,2000,2014,A
Robert Abraham,AbraRo20,FALSE,FALSE,LB,1982,1987,A
Danny Abramowicz,AbraDa00,FALSE,FALSE,E,1967,1974,A
Sid Abramowitz,AbraSi20,FALSE,FALSE,T,1983,1987,A
Bobby Abrams,AbraBo20,FALSE,FALSE,LB,1990,1995,A
Kevin Abrams,AbraKe20,FALSE,FALSE,DB,1997,1999,A
Nate Abrams,AbraNa20,FALSE,FALSE,E,1921,1921,A
George Abramson,AbraGe20,FALSE,FALSE,G-T,1925,1925,A
